name,quadrant,ring,isNew,status,description
Javascript / Unit Testing,Methods and Techniques,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
Javascript / Vue JS/Nuxt,Languages and Frameworks,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
Javascript / React JS/Next,Languages and Frameworks,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
PHP / PHP,Languages and Frameworks,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
PHP / Drupal 7,Tools and Platforms,Hold,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
PHP / Drupal 8+,Tools and Platforms,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
PHP / Drupal Theming,Methods and Techniques,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
PHP / Symfony,Languages and Frameworks,Evaluate,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
PHP / WordPress configuration,Methods and Techniques,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
PHP / WordPress custom development,Methods and Techniques,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
PHP / WordPress theming,Languages and Frameworks,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
PHP / Laravel,Languages and Frameworks,Assess,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
Testing / Cypress,Tools and Platforms,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
Testing / Webdriver,Languages and Frameworks,Hold,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
Testing / Jest,Languages and Frameworks,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
Testing / SOAPUI,Tools and Platforms,Evaluate,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
Testing / BDD,Methods and Techniques,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
Testing / Jmeter,Tools and Platforms,Use,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
Testing / PHPUnit,Methods and Techniques,Assess,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
Testing / Playwright,Languages and Frameworks,Assess,TRUE,new,<h3>Experience</h3><ul><li>Ben</li></ul>
