name,ring,quadrant,isNew,status,description
.Net / .NET Framework,Use,Languages and Frameworks,TRUE,New,<p>Deployable only on windows machines</p>
.Net / .NET Core,Use,Languages and Frameworks,TRUE,New,<ul><li>Ben</li></ul>
